fips,population,median_income,business_count
17093,132795,106358,2419
17095,49751,50263,975
17097,713159,104553,19831
17099,109495,67942,2537
17101,15302,55811,234
17103,34221,64588,712
17105,35771,68175,842
17107,28027,62547,542
17109,27370,48904,615
17111,311133,100101,8039
17113,171284,75356,3411
17115,103542,59622,2324
17117,44907,64706,827
17119,265512,71759,5549
17121,37543,59099,841
17123,11740,64940,237
17125,13074,58479,256
17127,14135,57365,220
17129,12284,84846,200
17131,15692,67028,263
17133,34905,100685,818
17135,28352,61796,673
17137,32882,61188,777
17139,14531,72833,327
17141,51672,75782,1020
17143,181186,63409,4248
17145,20996,56338,371
17147,16698,81151,324
17149,14776,55514,347
17151,3799,57582,47
17153,5177,41038,84
17155,5628,75726,123
17157,30413,63860,632
17159,15716,61607,436
17161,143819,64435,3062
17163,256791,68915,5077
